PLAZA CODE,PLAZA NAME,CONCESSIONAIRE TYPE,PLAZA SUB TYPE,STATE,CITY,LATITUDE,LONGITUDE
352059,Dukkavanipalem Toll Plaza,PF,NATIONAL,Andhra Pradesh,Visakhapatnam,17.888226,83.345101
352060,Marripalem Toll Plaza,PF,NATIONAL,Andhra Pradesh,Visakhapatnam,17.747445,83.069029
352061,Thenepalli Toll Plaza,PF,NATIONAL,Andhra Pradesh,Thenepalli,13.375431,79.078265
352062,Danamaiahga aripalli Toll Plaza,PF,NATIONAL,Andhra Pradesh,Danamaia,13.036175,78.515049
352063,Bandlapalli Toll Plaza,PF,NATIONAL,Andhra Pradesh,Bandlapall,13.336395,78.612892
352064,Cholasamundram Toll Plaza,PF,NATIONAL,Andhra Pradesh,Hindupur,13.811786,77.576451
352065,Dumpalagattu Paatimeeda Palli Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Kadapa,14.624067,78.783569
352066,Munjuluru Toll Plaza,PF,NATIONAL,Andhra Pradesh,Munjuluru,16.319957,81.220732
352067,Annampalli Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Annampal,16.672222,82.147222
352068,Gorribanda Toll Plaza,PF,NATIONAL,Andhra Pradesh,Srikakulam,18.619937,84.04102
536043,Seetharampuram Toll Plaza,PF,NATIONAL,Andhra Pradesh,Narsapura,16.423222,81.6385
536069,Reddypalem Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vijayawada,15.993396,80.598593
536133,Nagarjunasagar EMC Check post Toll Plaza,Conc,STATE,Andhra Pradesh,Macharla,16.56754,79.33326
536134,Ethipothala EMC Check post Toll Plaza,Conc,STATE,Andhra Pradesh,Macharla,16.541244,79.380177
536135,Narajamalatanda EMC Check post Toll Plaza,Conc,STATE,Andhra Pradesh,Yerragond,16.1643569,79.2997719
536136,Sirigiripadu EMC Check post Toll Plaza,Conc,STATE,Andhra Pradesh,Macharla,16.3077535,79.3296011
536137,Korraprolu EMC Check post Toll Plaza,CONC,STATE,Andhra Pradesh,Guntur,15.889607,78.920103
536184,Jonnada Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vizianagar,18.01129191,83.40771277
536237,Gantyada Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vizianagar,18.145833,83.283611
536336,Rolla Toll Plaza,PF,NATIONAL,Andhra Pradesh,Rolla,13.855229,77.117075
536441,Veeranjaneyapuram Fee Plaza,PF,NATIONAL,Andhra Pradesh,Veerachol,16.53194,79.38167
536466,MERLAPAKA TOLL PLAZA,PF,NATIONAL,Andhra Pradesh,Tirupati,13.703536,79.595097
536477,Manapuram Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vizianagar,18.36998388,83.33476543
536499,Pedagaruvu Toll Plaza,PF,NATIONAL,Andhra Pradesh,Araku,18.1773686,82.7445108
536547,Mangapatnam Toll Plaza,PF,NATIONAL,Andhra Pradesh,Mangapat,14.734112,78.26412
536550,Sameerapalem Toll Plaza,PF,NATIONAL,Andhra Pradesh,Nellore,15.1039,79.4639
536573,Basinenipalli Toll Plaza,PF,NATIONAL,Andhra Pradesh,Basinenipalli,14.9705176763469,79.2069355172383
536587,Gandaboyana palle Toll Plaza,PF,NATIONAL,Andhra Pradesh,Gandaboy,13.643564,78.755219
536626,Burakayalakota Toll Plaza,PF,NATIONAL,Andhra Pradesh,Mandnapa,13.171468,78.369727
536634,Ramanathapuram Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,V Kota,12.953609,78.582352
